id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,game_id,game_date,competition,season,state
1,1:05,Goal,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,20,Sarah Nurse,27,Emma Maltais,6,Kali Flanagan,39,Abigail Levy,,6 14 18 25 67,Brooke Hobson - Jaime Bourbonnais - Élizabeth Giguère - Alex Carpenter - Emma Woods,,6 12 20 22 27,Kali Flanagan - Allie Munroe - Sarah Nurse - Maggie Connors - Emma Maltais,72.0,-5.1,61,2024-04-28,PWHL,2023/2024,Regular Season
2,6:05,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,67,Emma Woods,,,,,50,Kristen Campbell,,,,,,,-87.0,21.2,61,2024-04-28,PWHL,2023/2024,Regular Season
3,7:54,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,24,Natalie Spooner,,,,,39,Abigail Levy,,,,,,,33.7,25.5,61,2024-04-28,PWHL,2023/2024,Regular Season
4,8:01,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,44,Jill Saulnier,,,,,50,Kristen Campbell,,,,,,,-55.3,28.3,61,2024-04-28,PWHL,2023/2024,Regular Season
5,8:51,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,13,Alexandra Labelle,,,,,50,Kristen Campbell,,,,,,,-43.0,-3.1,61,2024-04-28,PWHL,2023/2024,Regular Season
6,9:03,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,14,Jaime Bourbonnais,,,,,50,Kristen Campbell,,,,,,,-56.3,-11.6,61,2024-04-28,PWHL,2023/2024,Regular Season
7,9:11,Block,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,14,Jaime Bourbonnais,,,,,50,Kristen Campbell,,,,,,,-41.0,32.3,61,2024-04-28,PWHL,2023/2024,Regular Season
8,10:38,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,14,Renata Fast,,,,,39,Abigail Levy,,,,,,,58.0,24.4,61,2024-04-28,PWHL,2023/2024,Regular Season
9,10:52,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,14,Jaime Bourbonnais,,,,,50,Kristen Campbell,,,,,,,-17.0,15.3,61,2024-04-28,PWHL,2023/2024,Regular Season
10,11:10,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,28,Micah Zandee-Hart,,,,,50,Kristen Campbell,,,,,,,-31.7,-0.8,61,2024-04-28,PWHL,2023/2024,Regular Season
11,11:33,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,40,Blayre Turnbull,,,,,39,Abigail Levy,,,,,,,77.0,-0.8,61,2024-04-28,PWHL,2023/2024,Regular Season
12,11:33,Penalty,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,44,Jill Saulnier,,,,,,,,,,,,,,,61,2024-04-28,PWHL,2023/2024,Regular Season
13,11:51,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v4,27,Emma Maltais,,,,,39,Abigail Levy,,,,,,,73.0,6.5,61,2024-04-28,PWHL,2023/2024,Regular Season
14,12:26,Goal,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v4,20,Sarah Nurse,14,Renata Fast,34,Hannah Miller,39,Abigail Levy,,6 14 18 25 67,Brooke Hobson - Jaime Bourbonnais - Élizabeth Giguère - Alex Carpenter - Emma Woods,,14 20 22 27 34,Renata Fast - Sarah Nurse - Maggie Connors - Emma Maltais - Hannah Miller,63.7,-1.7,61,2024-04-28,PWHL,2023/2024,Regular Season
15,12:49,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,14,Jaime Bourbonnais,,,,,50,Kristen Campbell,,,,,,,-29.3,-33.4,61,2024-04-28,PWHL,2023/2024,Regular Season
16,13:13,Block,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,14,Jaime Bourbonnais,,,,,50,Kristen Campbell,,,,,,,-29.3,-25.8,61,2024-04-28,PWHL,2023/2024,Regular Season
17,13:50,Block,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,6,Brooke Hobson,,,,,50,Kristen Campbell,,,,,,,-34.7,-21.8,61,2024-04-28,PWHL,2023/2024,Regular Season
18,14:00,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,9,Jessie Eldridge,,,,,50,Kristen Campbell,,,,,,,-69.3,26.9,61,2024-04-28,PWHL,2023/2024,Regular Season
19,14:26,Penalty,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,59,Johanna Fällman,,,,,,,,,,,,,,,61,2024-04-28,PWHL,2023/2024,Regular Season
20,15:02,Block,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v4,34,Hannah Miller,,,,,39,Abigail Levy,,,,,,,81.0,-5.1,61,2024-04-28,PWHL,2023/2024,Regular Season
21,15:28,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v4,24,Natalie Spooner,,,,,39,Abigail Levy,,,,,,,80.0,-0.8,61,2024-04-28,PWHL,2023/2024,Regular Season
22,16:49,Block,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,23,Madison Packer,,,,,50,Kristen Campbell,,,,,,,-53.0,9.9,61,2024-04-28,PWHL,2023/2024,Regular Season
23,18:17,Block,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,10,Kayla Vespa,,,,,50,Kristen Campbell,,,,,,,-33.0,22.4,61,2024-04-28,PWHL,2023/2024,Regular Season
